data,load,GRU,lstm,RF,LM,GB,SVM,SVR,Target2
2012/12/31 19:00,42156.66,41374.1875,42090.50391,43679.44379,49714.51003,37645.19706,43446.43237,42214.03183,41803.58
2012/12/31 20:00,38283.7,40694.3125,40666.88281,42147.20075,46344.1825,35867.01897,41320.72723,40215.25247,40045.46
2012/12/31 21:00,36938.72,39350.40625,39698.50781,40402.28243,44704.41477,34803.30215,40490.2276,38529.72157,39110.89
2012/12/31 22:00,36993.32,39850.19531,39829.07813,39477.59573,44574.89832,33384.48742,40516.42487,37978.52576,39040.82
2012/12/31 23:00,35177.87,35567.66016,35871.52734,38740.83223,43355.36154,32441.38946,40004.12495,36329.42026,36079.68
2013/1/1 0:00,33218.64,32742.92383,33170.42188,38031.37227,39206.71517,34812.28977,36846.4186,31347.6148,33356.96
2013/1/1 1:00,31979.22,31607.38281,31587.60938,37530.61342,38332.45518,33925.52377,35857.39369,30077.5215,31663.45
2013/1/1 2:00,30687.93,30663.00586,30845.01758,37229.94952,37520.00126,32473.82414,35525.45115,30014.34112,31055.57
2013/1/1 3:00,29461.25,31322.23242,31367.64453,37160.51733,36674.38981,32997.58053,35517.05623,30828.83993,31179.33
2013/1/1 4:00,29007.16,32375.74023,32347.08594,37278.36274,36579.72196,35290.02116,36184.96454,32759.0965,32012.89
2013/1/1 5:00,28505.75,34280.76563,34131.78516,36928.20596,36585.9604,35976.2457,36832.55714,34229.47888,33813.78
2013/1/1 6:00,27046.11,38128.71875,38176.12109,40779.61049,35776.85023,37198.86207,37002.83203,34903.89837,38071.67
2013/1/1 7:00,26976.04,43584.8125,45062.65625,42374.50045,35937.39019,37454.20734,38268.09809,38032.24473,42830.97
2013/1/1 8:00,27676.74,46903.73828,46562.34766,42785.11045,36796.03641,38023.46064,40042.89325,41747.07912,45959.55
2013/1/1 9:00,29662.36,47332.20703,46963.20313,44307.38636,38491.61715,41331.51583,42204.45375,46344.44731,47232.64
2013/1/1 10:00,32045.65,47313.71094,47269.03516,45128.22152,40469.76813,43194.27444,44230.07569,50300.39486,48610.38
2013/1/1 11:00,34877.57,48468.18359,48377.66406,46220.80747,42802.32349,45313.19602,46649.50269,54551.66543,49832.51
