TRUE,GRU,LSTM,DTR,GBR,SVR,ANN
106,113.6396484,116.3341293,106,106,106,115.0333328
108,1.22E+02,123.7371368,108,108,108,118.7111969
1.20E+02,1.33E+02,137.6979675,112,110.7277218,109.2576318,133.0611877
1.54E+02,1.55E+02,152.3643341,112,112.3897981,112.7950712,164.225235
1.34E+02,1.36E+02,125.053894,126,118.002273,118.7565241,141.4927826
1.33E+02,1.37E+02,128.4819794,165,158.3268211,161.7204418,130.230835
1.24E+02,1.24E+02,122.5657043,136,135.2350905,139.6042356,118.5307617
1.26E+02,1.33E+02,135.2810974,136,127.3236828,134.1747521,128.5293274
1.27E+02,1.35E+02,139.7644196,132,128.3865112,131.6309068,139.3717041
1.32E+02,1.44E+02,149.6187744,132,130.9825749,133.437018,139.2290344
1.32E+02,1.38E+02,134.8352661,126,130.9825749,133.9475085,147.5953369
1.35E+02,1.34E+02,124.3118439,128.5,133.1464131,139.5622468,134.7458496
1.59E+02,1.53E+02,140.3348999,128.5,133.2418718,138.6295209,154.4840393
1.51E+02,1.30E+02,128.4467926,140,126.4304881,129.748928,126.2936249
1.48E+02,1.18E+02,116.3642731,165,164.0068199,166.4541146,120.7370605
1.40E+02,1.02E+02,104.2025604,142.5,134.8458487,144.8086433,99.19023132
1.05E+02,8.35E+01,82.78837585,142.5,126.7839901,137.2603757,72.19755554
8.50E+01,6.08E+01,63.40465927,142.5,120.5843135,121.1816643,52.21763229
8.40E+01,6.22E+01,63.29846191,99,89.55972939,85.59291665,57.1336937
1.14E+02,8.64E+01,87.77220917,66,73.92174341,64.44495306,80.68199921
1.12E+02,9.34E+01,84.65318298,66,73.92174341,62.65346202,87.52706146
1.11E+02,9.58E+01,86.4180603,109.5,100.0182336,88.88993213,97.01968384
3.60E+01,3.68E+01,36.58544922,109.5,99.90165082,89.909151,40.00322723
1.20E+01,1.44E+01,22.91668701,109.5,99.90165082,91.77741666,28.57353973
1.20E+01,1.60E+01,22.02651978,32,32.74977511,33.54459002,23.18317413
1.50E+01,2.27E+01,27.70037842,12,13.37795684,20.51803798,33.57447815
2.30E+01,2.89E+01,29.70072174,12,13.02170131,19.77146898,40.58083344
2.40E+01,3.35E+01,29.85186005,16,18.18741202,19.52458459,43.31429291
1.60E+01,2.86E+01,24.95280457,22,24.08593175,22.94105293,26.80471039
6.30E+01,6.50E+01,69.93791199,34,36.11999284,33.53412104,65.99970245
8.40E+01,9.03E+01,95.64694977,28,26.10884951,26.19007444,84.21995544
9.30E+01,9.09E+01,98.5954895,73,71.38144179,71.34844597,87.74422455
1.09E+02,1.11E+02,110.879715,89,90.38830819,91.81927446,104.7324371
1.28E+02,1.25E+02,124.2136841,96,99.03120631,101.6344207,128.526825
1.25E+02,1.27E+02,121.0336075,112,110.7922814,116.6545319,132.1520844
1.25E+02,1.26E+02,123.556221,126,127.6684284,135.2224662,125.6972198
1.26E+02,1.22E+02,114.4270401,126,128.1341352,130.5768644,128.1137543
1.36E+02,1.35E+02,123.897934,132,130.6786253,133.6570634,137.0818329
1.47E+02,1.37E+02,137.1180115,132,130.0494503,132.949937,139.7725525
9.50E+01,7.34E+01,76.77885437,136,142.1130997,142.1423063,67.61145782
7.20E+01,6.52E+01,68.13200378,144,152.7541181,153.4205047,74.9210434
6.40E+01,6.60E+01,67.37135315,99,94.56975073,94.97809854,74.07914734
6.10E+01,6.32E+01,57.58079147,80,81.26495954,78.4646786,60.87083054
5.80E+01,5.84E+01,54.65169525,73,72.22445043,69.78294901,60.04483795
6.50E+01,6.44E+01,61.1265831,66,67.9329147,66.5840227,67.45584106
6.20E+01,6.37E+01,62.72502518,66,63.33747232,62.67614707,67.4300766
7.90E+01,8.06E+01,79.31430054,73,72.90870269,67.92805482,82.9437561
7.40E+01,7.74E+01,78.10754395,66,67.9329147,65.0552469,74.65785217
6.70E+01,7.24E+01,73.17246246,76,82.23559523,79.77594628,67.85308838
8.00E+01,8.39E+01,83.90192413,76,78.85144314,75.72370593,80.28695679
6.80E+01,7.16E+01,71.69277954,70,72.90870269,69.63575988,69.91675568
6.30E+01,6.98E+01,69.30075836,81.5,86.12787166,81.6116616,68.08659363
5.50E+01,6.12E+01,60.02312088,70,73.24155458,70.35044064,61.23721695
7.00E+01,7.40E+01,73.63809204,70,71.19652087,66.08236651,76.66035461
8.40E+01,8.71E+01,86.64366913,60,62.72400472,58.67492303,91.46295929
6.50E+01,7.01E+01,68.59420013,76,73.50624546,73.0248253,74.45516205
6.50E+01,7.21E+01,74.52516174,89,88.22083389,86.96557896,75.64530182
7.00E+01,8.00E+01,80.29226685,70,73.24155458,68.5290248,71.76101685
7.00E+01,7.48E+01,73.36155701,73,74.78725695,71.91450651,77.3082428
7.50E+01,7.69E+01,77.93814087,80,81.00680185,71.99118733,84.09888458
9.00E+01,9.47E+01,94.98773193,80,75.67371976,77.38752472,95.53636932
9.10E+01,9.20E+01,92.47306061,80,81.5755615,81.65149898,98.01004791
8.70E+01,8.60E+01,84.91990662,96,97.43438477,96.34428508,84.53216553
8.00E+01,8.28E+01,81.25041199,96,95.10030638,95.70939887,85.34015656
8.30E+01,8.88E+01,87.03025818,81.5,90.72761707,93.08576037,90.55278015
7.90E+01,8.40E+01,82.20565796,89,86.46072355,85.95321473,85.45915222
6.90E+01,7.34E+01,72.47340393,89,88.22083389,88.301292,70.28218079
7.00E+01,7.23E+01,71.7147522,76,82.56844712,83.60379333,69.71380615
7.20E+01,7.29E+01,71.96751404,70,73.24155458,73.37525053,73.5737915
7.40E+01,7.55E+01,74.66812134,76,73.50624546,73.83747421,77.05380249
7.10E+01,6.51E+01,65.01881409,76,79.18429502,75.37822836,68.89399719
4.80E+01,4.66E+01,47.3999939,76,79.18429502,77.21060586,48.45983505
4.30E+01,4.69E+01,47.9452858,76,74.93752171,72.79144024,45.60362625
4.50E+01,5.05E+01,50.12212372,52,54.84802099,52.52275308,49.38219452
4.70E+01,5.37E+01,52.43589783,54,52.31408552,48.07765102,52.46473694
5.60E+01,6.22E+01,60.59118652,54,54.77684363,49.59087495,62.05761337
5.90E+01,6.60E+01,63.78681946,52,55.18087287,51.20507348,66.04125977
5.90E+01,6.50E+01,63.13543701,60,62.89586835,59.59046677,67.20437622
5.50E+01,6.01E+01,58.86343002,66,66.09219071,62.60267069,63.78157806
5.00E+01,5.98E+01,60.92599487,66,66.09219071,62.64014716,63.1349144
4.60E+01,5.55E+01,53.75304031,60,62.72400472,58.96845694,56.19149399
4.00E+01,4.77E+01,46.56040192,57,59.65810348,57.219261,47.76350784
4.60E+01,5.36E+01,51.6776123,52,56.0128377,55.12847761,49.51515198
4.70E+01,5.78E+01,55.09423447,46,49.60788732,48.47643745,52.04346848
5.00E+01,6.26E+01,59.44867325,52,54.77684363,53.526503,61.01224518
4.60E+01,5.75E+01,54.68399429,52,56.20898979,54.78731483,56.71031189
4.70E+01,5.43E+01,52.01884842,57,59.65810348,57.74210662,47.05143738
5.50E+01,6.09E+01,57.95983124,52,55.23385225,53.42658909,54.99166107
5.10E+01,5.70E+01,53.65515518,52,56.98797524,56.21197637,54.28621292
6.30E+01,6.77E+01,63.67725754,60,62.72400472,62.61265854,64.74737549
6.20E+01,6.57E+01,62.90377045,57,58.11240111,58.0769861,61.20280457
