date,dew,pollution,temp,wnd_dir,wnd_spd,snow,rain,target
2010/1/2 0:00,-16,129,-4,10,1.79,0,0,159
2010/1/2 1:00,-15,148,-4,10,2.68,0,0,181
2010/1/2 2:00,-11,159,-5,10,3.57,0,0,138
2010/1/2 3:00,-7,181,-5,10,5.36,1,0,109
2010/1/2 4:00,-7,138,-5,10,6.25,2,0,105
2010/1/2 5:00,-7,109,-6,10,7.14,3,0,124
2010/1/2 6:00,-7,105,-6,10,8.93,4,0,120
2010/1/2 7:00,-7,124,-5,10,10.72,0,0,132
2010/1/2 8:00,-8,120,-6,10,12.51,0,0,140
2010/1/2 9:00,-7,132,-5,10,14.3,0,0,152
2010/1/2 10:00,-7,140,-5,10,17.43,1,0,148
2010/1/2 11:00,-8,152,-5,10,20.56,0,0,164
2010/1/2 12:00,-8,148,-5,10,23.69,0,0,158
2010/1/2 13:00,-8,164,-5,10,27.71,0,0,154
2010/1/2 14:00,-9,158,-5,10,31.73,0,0,159
2010/1/2 15:00,-9,154,-5,10,35.75,0,0,164
2010/1/2 16:00,-9,159,-5,10,37.54,0,0,170
2010/1/2 17:00,-8,164,-5,10,39.33,0,0,149
2010/1/2 18:00,-8,170,-5,10,42.46,0,0,154
2010/1/2 19:00,-8,149,-5,10,44.25,0,0,164
2010/1/2 20:00,-7,154,-5,10,46.04,0,0,156
2010/1/2 21:00,-7,164,-5,10,49.17,1,0,126
2010/1/2 22:00,-8,156,-6,10,52.3,2,0,90
2010/1/2 23:00,-8,126,-6,10,55.43,3,0,63
2010/1/3 0:00,-7,90,-6,10,58.56,4,0,65
2010/1/3 1:00,-8,63,-6,10,61.69,5,0,55
2010/1/3 2:00,-8,65,-7,10,65.71,6,0,65
2010/1/3 3:00,-8,55,-7,10,68.84,7,0,83
2010/1/3 4:00,-8,65,-7,10,72.86,8,0,91
2010/1/3 5:00,-9,83,-8,10,76.88,9,0,86
2010/1/3 6:00,-10,91,-8,10,80.9,10,0,82
2010/1/3 7:00,-10,86,-9,10,84.92,11,0,86
2010/1/3 8:00,-10,82,-9,10,89.84,12,0,78
2010/1/3 9:00,-11,86,-9,10,93.86,13,0,98
2010/1/3 10:00,-11,78,-9,10,97.88,15,0,107
2010/1/3 11:00,-11,98,-9,10,102.8,16,0,90
2010/1/3 12:00,-11,107,-9,10,105.93,17,0,96
2010/1/3 13:00,-11,90,-9,10,111.74,19,0,95
2010/1/3 14:00,-11,96,-9,10,116.66,20,0,86
2010/1/3 15:00,-11,95,-9,10,121.58,21,0,70
2010/1/3 16:00,-11,86,-9,10,124.71,22,0,61
2010/1/3 17:00,-11,70,-9,10,127.84,23,0,53
2010/1/3 18:00,-11,61,-9,20,0.89,24,0,71
2010/1/3 19:00,-11,53,-9,20,1.78,25,0,72
2010/1/3 20:00,-10,71,-9,0,4.02,26,0,76
2010/1/3 21:00,-11,72,-10,0,7.15,27,0,73
2010/1/3 22:00,-11,76,-9,0,11.17,0,0,79
2010/1/3 23:00,-12,73,-11,0,14.3,0,0,58
2010/1/4 0:00,-14,79,-12,0,16.09,0,0,25
2010/1/4 1:00,-16,58,-9,0,21.9,0,0,26
2010/1/4 2:00,-17,25,-10,0,29.95,0,0,28
2010/1/4 3:00,-18,26,-11,0,39.78,0,0,26
2010/1/4 4:00,-19,28,-11,0,48.72,0,0,20
2010/1/4 5:00,-20,26,-12,0,55.87,0,0,29
2010/1/4 6:00,-21,20,-12,0,64.81,0,0,26
2010/1/4 7:00,-21,29,-13,0,73.75,0,0,27
2010/1/4 8:00,-22,26,-13,0,80.9,0,0,27
2010/1/4 9:00,-22,27,-13,0,90.73,0,0,25
2010/1/4 10:00,-22,27,-12,0,100.56,0,0,29
2010/1/4 11:00,-23,25,-12,0,108.61,0,0,32
2010/1/4 12:00,-21,29,-11,0,117.55,0,0,28
2010/1/4 13:00,-20,32,-10,0,127.38,0,0,29
2010/1/4 14:00,-21,28,-10,0,136.32,0,0,30
2010/1/4 15:00,-21,29,-9,0,145.26,0,0,30
2010/1/4 16:00,-21,30,-9,0,152.41,0,0,28
2010/1/4 17:00,-20,30,-11,0,159.56,0,0,26
2010/1/4 18:00,-23,28,-11,0,165.37,0,0,31
2010/1/4 19:00,-21,26,-12,0,171.18,0,0,33
2010/1/4 20:00,-24,31,-12,0,180.12,0,0,29
2010/1/4 21:00,-24,33,-13,0,187.27,0,0,31
2010/1/4 22:00,-24,29,-13,0,195.32,0,0,30
2010/1/4 23:00,-26,31,-15,0,198.45,0,0,34
2010/1/5 0:00,-26,30,-17,0,201.58,0,0,27
2010/1/5 1:00,-26,34,-18,0,205.6,0,0,25
2010/1/5 2:00,-26,27,-19,0,208.73,0,0,28
2010/1/5 3:00,-27,25,-18,0,213.65,0,0,28
2010/1/5 4:00,-27,28,-19,0,218.57,0,0,27
2010/1/5 5:00,-27,28,-16,-10,4.92,0,0,27
2010/1/5 6:00,-26,27,-16,-10,8.05,0,0,27
2010/1/5 7:00,-27,27,-16,-10,13.86,0,0,29
2010/1/5 8:00,-26,27,-16,-10,18.78,0,0,36
